ev_level2_evse_num,ev_dc_fast_count,latitude,longitude,id,restricted_access,status_code_E,status_code_P,status_code_T,owner_type_code_FG,owner_type_code_LG,owner_type_code_P,owner_type_code_SG,owner_type_code_T,owner_type_code_Unknown,access_code_private,access_code_public,province_encoded,ev_network_encoded
0.0,1.0,42.9581,-81.2616,83897.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,1.0,42.9673138,-81.6339047,158074.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,2.0,42.97751467,-82.36554824,209351.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,9.0
0.0,4.0,42.97904529,-82.36480385,227725.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0
2.0,1.0,42.981413,-81.291468,84926.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,9.0
0.0,4.0,42.98525,-82.35662,185160.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,6.0
0.0,3.0,42.98966,-82.40419,156679.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,1.0,42.9923795,-82.4106227,169659.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0
0.0,2.0,43.0046196,-81.699951,156677.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,1.0,43.005069,-82.388348,85216.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,4.0,43.0153,-79.22866,189157.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,6.0
0.0,1.0,43.027706,-81.277942,129472.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,7.0
2.0,1.0,43.037577,-80.883237,129475.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,7.0
0.0,1.0,43.059827,-79.053274,85198.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,2.0,43.0659416,-79.1259231,158041.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,4.0,43.06662892,-80.79829985,214722.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0
0.0,2.0,43.1051228,-79.1096048,158040.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
2.0,1.0,43.111857,-80.738677,129481.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,7.0
0.0,8.0,43.111918,-80.738804,103130.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,13.0
2.0,2.0,43.1141,-79.125047,129482.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,7.0
1.0,1.0,43.115847,-80.736863,129483.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,7.0
0.0,12.0,43.116828,-79.124508,157892.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,13.0
0.0,1.0,43.13038,-80.756733,211936.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,5.0
0.0,1.0,43.1341503,-79.2183716,158067.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,1.0,43.14943609,-80.1870915,85116.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,3.0,43.16529055,-80.27460708,156674.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0
2.0,1.0,43.172782,-80.244395,129488.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,7.0
0.0,3.0,43.18041107,-79.25200555,156670.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0
1.0,1.0,43.196149,-80.020687,87663.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,1.0,43.1998063,-80.0138415,158069.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,1.0,43.2042798,-79.5898923,158068.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,8.0,43.209697,-79.600861,85148.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,13.0
0.0,1.0,43.215631,-79.887013,121558.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,20.0,43.216698,-79.86401,122253.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,13.0
2.0,1.0,43.217348,-79.86265,129489.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,7.0
0.0,1.0,43.220618,-79.734423,94489.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,5.0
0.0,4.0,43.22103022,-79.85242496,200835.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0
0.0,2.0,43.22695136,-79.94778996,210194.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,1.0,43.22695136,-79.94778996,223661.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,2.0,43.2285,-79.77316,157850.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,4.0,43.2286,-79.77384,189168.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,6.0
2.0,1.0,43.228748,-79.880776,129490.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,7.0
0.0,2.0,43.2296491,-79.9395532,158054.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,1.0,43.313898,-81.755071,208806.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,16.0,43.326276,-79.822231,122287.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,13.0
0.0,4.0,43.328164,-79.828969,83023.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
0.0,3.0,43.347144,-79.793638,219883.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,7.0
